Class,Sheet,Cell,NamedRange,Formula,Value(data_only),Direct Precedents
INPUT,DSP_Yield_Analysis,C6,,,0.9,
INPUT,DSP_Yield_Analysis,D5,,,0.95,
INPUT,Inputs and Assumptions,B7,Supernatant_Product,,5,
INPUT,Inputs and Assumptions,B9,Batches_Per_Campaign,,6,
INPUT,Inputs and Assumptions,B10,Annual_Campaigns,,5,
INPUT,Inputs and Assumptions,B15,Fermenter_size,,100,
INPUT,Inputs and Assumptions,B17,Fermentation_Time,,48,
INPUT,Inputs and Assumptions,B18,Turnaround_Time,,24,
INPUT,Inputs and Assumptions,B28,SO_time,,4,
INPUT,Inputs and Assumptions,B31,S1_time,,4,
INPUT,Inputs and Assumptions,B34,S2_time,,4,
INPUT,Inputs and Assumptions,B37,S3_time,,4,
INPUT,Inputs and Assumptions,B42,OD_600,,150,
INPUT,Inputs and Assumptions,B43,OD_Biomass_Factor,,0.4,
INPUT,Inputs and Assumptions,B44,Cell_Density,,105,
INPUT,Inputs and Assumptions,B45,Cell_Solids,,0.3,
INPUT,Inputs and Assumptions,B47,Sludge_Solids_Content,,0.2,
INPUT,Inputs and Assumptions,B48,Initial_Glycerol_Concentration,,20,
INPUT,Inputs and Assumptions,B50,Initial_Glucose_Concentration,,20,
INPUT,Inputs and Assumptions,B51,Feed_Glucose_Concentration,,500,
INPUT,Inputs and Assumptions,B54,Initial_Molasses_Concentration,,40,
INPUT,Inputs and Assumptions,B57,Yeast_Extract_Concentration,,10,
INPUT,Inputs and Assumptions,B58,Peptone_Concentration,,20,
INPUT,Inputs and Assumptions,B59,Biomass_Yield_on_Glucose,,0.48,
INPUT,Inputs and Assumptions,B60,Biomass_Yield_on_Glycerol,,0.58,
INPUT,Inputs and Assumptions,B62,Biomass_Yield_on_Molasses,,0.25,
INPUT,Inputs and Assumptions,B72,MF_Membrane_Area,,80,
INPUT,Inputs and Assumptions,B73,Microfiltration_Flux,,45,
INPUT,Inputs and Assumptions,B86,UF_DF_Efficiency,,0.95,
INPUT,Inputs and Assumptions,B87,UF_DF_Flux,,20,
INPUT,Inputs and Assumptions,B88,UF_Concentration_Factor,,20,
INPUT,Inputs and Assumptions,B89,UF_Membrane_Area,,150,
INPUT,Inputs and Assumptions,B90,Diafiltration_Volumes,,5,
INPUT,Inputs and Assumptions,B92,Chromatography_Dynamic_Capacity,,60,
INPUT,Inputs and Assumptions,B93,Chromatography_Yield,,0.8,
INPUT,Inputs and Assumptions,B94,Wash1_BV,,3,
INPUT,Inputs and Assumptions,B95,Wash2_BV,,2,
INPUT,Inputs and Assumptions,B96,Elution_BV,,5,
INPUT,Inputs and Assumptions,B97,Strip_BV,,2,
INPUT,Inputs and Assumptions,B98,Column_Volume_L,,5000,
INPUT,Inputs and Assumptions,B99,Columns_in_Service,,3,
INPUT,Inputs and Assumptions,B100,DBC_g_per_L,,80,
INPUT,Inputs and Assumptions,B101,Utilization_pct,,0.85,
INPUT,Inputs and Assumptions,B116,Pre_Drying_TFF_Efficiency,,0.95,
INPUT,Inputs and Assumptions,B117,Pre_Drying_TFF_Flux,,35,
INPUT,Inputs and Assumptions,B118,Pre_Drying_TFF_Membrane_Area,,35,
INPUT,Inputs and Assumptions,B119,Pre_Drying_Concentration_Factor,,5,
INPUT,Inputs and Assumptions,B126,Spray_Dryer_Efficiency,,0.98,
INPUT,Inputs and Assumptions,B127,Spray_Dryer_Capacity,,150,
INPUT,Inputs and Assumptions,B129,Solution_Density,,1.08,
INPUT,Inputs and Assumptions,B130,Final_Solids_Content,,0.15,
INPUT,Inputs and Assumptions,B134,Glucose_Cost,,0.75,
INPUT,Inputs and Assumptions,B135,Glycerol_Cost,,1.2,
INPUT,Inputs and Assumptions,B137,Molasses_Cost,,0.25,
INPUT,Inputs and Assumptions,B138,Yeast_Extract_Cost,,12,
INPUT,Inputs and Assumptions,B139,Peptone_Cost,,15,
INPUT,Inputs and Assumptions,B140,Minor_Nutrients_Cost,,500,
INPUT,Inputs and Assumptions,B141,Antifoam_Cost,,10,
INPUT,Inputs and Assumptions,B142,Antifoam_Dosage,,0.1,
INPUT,Inputs and Assumptions,B143,CIP_Chemicals_Cost,,3,
INPUT,Inputs and Assumptions,B145,MF_Membrane_Cost,,1000,
INPUT,Inputs and Assumptions,B146,MF_Membrane_Lifetime,,50,
INPUT,Inputs and Assumptions,B147,UF_Membrane_Cost,,1500,
INPUT,Inputs and Assumptions,B148,UF_Membrane_Lifetime,,100,
INPUT,Inputs and Assumptions,B149,Resin_Cost,,1000,
INPUT,Inputs and Assumptions,B150,Resin_Lifetime,,30,
INPUT,Inputs and Assumptions,B151,Phosphate_Cost,,1.5,
INPUT,Inputs and Assumptions,B152,Phosphate_MW_g_per_mol,,120,
INPUT,Inputs and Assumptions,B153,Phosphate_M,,0.01,
INPUT,Inputs and Assumptions,B154,NaCl_Cost,,0.1,
INPUT,Inputs and Assumptions,B155,NaCl_MW_g_per_mol,,58.44,
INPUT,Inputs and Assumptions,B156,NaCl_M_Wash1,,0.25,
INPUT,Inputs and Assumptions,B157,NaCl_M_Wash2,,0.25,
INPUT,Inputs and Assumptions,B158,NaCl_M_Elution,,0.375,
INPUT,Inputs and Assumptions,B159,NaCl_M_Strip,,1,
INPUT,Inputs and Assumptions,B167,Pre_Drying_TFF_Membrane_Cost,,1800,
INPUT,Inputs and Assumptions,B168,Pre_Drying_TFF_Membrane_Lifetime,,100,
INPUT,Inputs and Assumptions,B169,Membrane_Cleaning_Cost,,200,
INPUT,Inputs and Assumptions,B170,QC_Testing_Cost_Per_Batch,,15000,
INPUT,Inputs and Assumptions,B184,Campaign_Setup_Fee,,250000,
INPUT,Inputs and Assumptions,B187,Facility_Reservation_Fee,,50000,
INPUT,Inputs and Assumptions,B188,Campaign_Reservation_Months,,2,
INPUT,Inputs and Assumptions,B189,Long_Term_Contract_Discount,,0.1,
INPUT,Inputs and Assumptions,B190,Contract_Length,,3,
INPUT,Inputs and Assumptions,B191,Annual_Price_Escalation,,0.03,
INPUT,Inputs and Assumptions,B192,Validation_Batch_Surcharge,,0.25,
INPUT,Inputs and Assumptions,B193,Validation_Batches_Required,,3,
INPUT,Inputs and Assumptions,B194,Fermenter_Daily_Rate,,75000,
INPUT,Inputs and Assumptions,B195,Fermenter_Campaign_Discount,,0.15,
INPUT,Inputs and Assumptions,B196,DSP_Daily_Rate,,75000,
INPUT,Inputs and Assumptions,B197,DSP_Campaign_Discount,,0.1,
INPUT,Inputs and Assumptions,B198,Spray_Dryer_Hourly_Rate,,1000,
INPUT,Inputs and Assumptions,B199,Spray_Dryer_Campaign_Discount,,0.05,
INPUT,Inputs and Assumptions,B200,Labor_Cost_Per_Batch,,20000,
INPUT,Inputs and Assumptions,B201,Labor_Campaign_Discount,,0.2,
INPUT,Inputs and Assumptions,B202,CMO_Overhead_Markup,,0.25,
INPUT,Inputs and Assumptions,B203,CMO_Consumables_Campaign_Discount,,0.1,
INPUT,Inputs and Assumptions,B204,Documentation_Base_Fee,,5000,
INPUT,Inputs and Assumptions,B205,QA_Review_Base_Fee,,10000,
INPUT,Inputs and Assumptions,B206,QA_Campaign_Discount,,0.15,
INPUT,NaCl_M_Was,h1,,,,
INPUT,NaCl_M_Was,h2,,,,
INPUT,Was,h1,,,,
INPUT,Was,h2,,,,
